fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
136,train,1827.1636962890625,108,31.6500267017764,20.136591093562807,0.02646077733952092,0.16422597718035464,0.9719626168224299
137,train,2627.72509765625,108,17.20454028929537,2.1181504322469906,0.02368753155160585,0.1346176501947156,0.9158878504672897
138,train,2309.68701171875,108,23.26130112824752,8.79939306425381,0.023708941162807935,0.12322827515688219,0.9439252336448598
139,train,1161.4691162109375,108,12.555348898424056,4.268830940527298,0.023400454758276228,0.10399466379745227,0.9439252336448598
140,train,572.8842163085938,108,18.805070741338806,6.685843531329486,0.026640842612933566,0.10756624569604774,0.9439252336448598
141,train,2603.579833984375,108,15.380993997901871,7.914913934059927,0.024584577583929283,0.11317697928889418,0.9345794392523364
142,train,388.6134033203125,108,14.0934699034788,1.740876335742746,0.026405847177950848,0.11677809791788764,0.9252336448598131
143,test,2006.3541259765625,108,19.92308989832001,5.111303286876641,0.0237719025166728,0.13103488586181,0.9813084112149533
144,train,291.9921875,108,14.331084845059173,2.761546206490993,0.020340561907504957,0.12401290685990879,0.9719626168224299
145,train,2357.44921875,108,25.493523095846385,11.086372444911504,0.02624652194849971,0.1878836285424276,0.9626168224299065
146,test,2548.1279296875,108,15.137796904223904,3.5395898818911915,0.032937508360392,0.17523009148964896,0.9906542056074766
147,train,1197.8768310546875,108,19.520049149985464,25.02590498833727,0.021938755726590195,0.1204325830087673,0.9532710280373832
148,train,1679.9610595703125,108,11.084929248261304,12.474647204487304,0.021654941650743196,0.09794434522674977,0.9065420560747663
149,test,1258.9620361328125,108,22.444348105099845,19.56587689187018,0.023514667305355976,0.11063419525023505,0.9345794392523364
150,test,782.1447143554688,108,13.056685368761451,33.97026655868271,0.024354395940280837,0.10735437488807432,0.9252336448598131
151,train,955.7509765625,108,28.744421317123948,30.093590243473013,0.025373642542857806,0.14212766034827473,0.9813084112149533
152,val,1484.3035888671875,108,25.057429884773477,12.827120920369111,0.02755980953366483,0.13292297339187706,0.9626168224299065
153,train,1151.9578857421875,108,24.646899432972585,32.14738971829482,0.03144452821368595,0.164142042358733,0.9532710280373832
154,train,765.627197265625,108,17.906664212338438,21.378706136013378,0.03046646618449026,0.13086212975367856,0.9158878504672897
155,test,1736.22900390625,108,22.661035191224713,23.466773213430727,0.02299664920157364,0.11926811186454292,0.9439252336448598
156,test,269.7756042480469,108,12.530329582921938,1.608084002220134,0.030166797318152257,0.17001633452459117,0.9719626168224299
157,train,863.1298217773438,108,21.470012513295547,32.34009976010629,0.026840784353763508,0.14446124867784543,0.9439252336448598
158,train,959.783203125,108,19.90260626980497,21.52157241813396,0.026678578511909815,0.11353488648152327,0.9158878504672897
159,test,1491.3646240234375,108,13.514565326231855,2.835527013974737,0.018481954976597367,0.10110737199569043,0.9626168224299065
160,test,1208.0384521484375,108,17.52521526807115,5.1509797551977385,0.022443166238122886,0.09861544719460641,0.9065420560747663
161,test,1670.337158203125,108,16.587991593437867,11.872148870390319,0.02570564502060624,0.11671010469395761,0.9439252336448598
162,train,1212.221435546875,108,22.14646438715481,21.135815149695997,0.033919813303985136,0.1650828311276945,0.9532710280373832
163,train,1329.7095947265625,108,16.42616874563771,19.113035929829675,0.02559828204095784,0.11416066998852399,0.9439252336448598
164,test,878.911376953125,108,23.134520912687233,25.79465827972753,0.026230164433449773,0.11144755069223544,0.9158878504672897
165,train,975.4146728515625,108,15.786013983817357,8.430532020699406,0.028108731195789667,0.13641881735074154,0.9813084112149533
166,train,1168.7872314453125,108,21.341057971266373,4.474409048054814,0.022525853285683094,0.1390883973889421,0.9813084112149533
167,train,1386.3277587890625,108,19.14615697254826,5.816199308219977,0.023886322495995746,0.12465025274024419,0.9813084112149533
168,train,938.9636840820312,108,11.846823831513042,18.825557076622403,0.021739643565892516,0.09838653733213687,0.9626168224299065
169,train,1323.025146484375,108,18.014651411444863,8.048752853675937,0.029274247988306867,0.13149358158624874,0.9626168224299065
170,val,1555.2490234375,108,24.343767314074512,16.510754207271358,0.02814615477976576,0.12825015754588584,0.9158878504672897
171,train,1623.3685302734375,108,32.98563551286067,16.16160664549547,0.026745245079345066,0.13973155033473766,0.9345794392523364
172,train,1228.25634765625,108,21.75335161915076,39.755004766102346,0.026656943879838215,0.13102252353889382,0.9813084112149533
173,train,1133.8199462890625,108,21.991794953355292,2.2986786404927506,0.025586532311022495,0.1254477511165198,0.9626168224299065
174,train,1515.3658447265625,108,17.87168996161883,13.377516357093592,0.02291261230095998,0.13412553452839668,0.9813084112149533
175,train,1143.6859130859375,108,20.374433442141214,17.300369101434093,0.02302594091066782,0.1060164715839665,0.9439252336448598
176,train,1782.2578125,108,23.993298965727995,21.881517780767176,0.02434252543568248,0.1303880930815999,0.9252336448598131
177,train,714.4227905273438,108,23.75066437010685,16.091302768958087,0.02806852643811917,0.13927983692335863,0.9345794392523364
178,train,800.8585815429688,108,24.50954162216927,12.62312856282386,0.026036896301668236,0.16171838234267405,0.9719626168224299
179,train,1251.49072265625,108,18.263167771230524,8.692795763968363,0.018788914216281673,0.11162080565790429,0.9626168224299065
180,test,316.5773010253906,108,21.03542339491213,12.570733533467408,0.026157664987757095,0.13580038453468946,0.9532710280373832
181,train,81.80229949951172,108,16.144705876379618,7.064549422898861,0.026040240317071587,0.16553131218673894,0.9532710280373832
182,val,133.2541961669922,108,19.769492480724818,7.668168142687874,0.03294317861011734,0.1809368359177421,0.9626168224299065
183,train,442.4483947753906,108,15.218553735960962,27.879713738833363,0.023638220724220615,0.13909375721307,0.9532710280373832
184,test,881.3618774414062,108,21.875773520036592,20.837796627931123,0.02500393842680169,0.1406607868972973,0.9719626168224299
185,train,226.79029846191406,108,15.185054022385762,9.562022536991023,0.02827227382656752,0.17392286024595816,0.9626168224299065
186,train,755.49267578125,108,26.42438021313667,36.259230113567085,0.020960905359706277,0.11150600029135457,0.9719626168224299
187,test,944.9661254882812,108,13.920272779315479,32.83706702203813,0.02863628773017206,0.16492508546196474,0.9345794392523364
188,train,270.42559814453125,108,9.834806709251701,24.29873916699141,0.019540679051544725,0.10829917024916115,0.9626168224299065
189,train,258.02508544921875,108,17.50336767590489,8.811126267432792,0.018235812139844834,0.09220592309811658,0.9719626168224299
190,train,1083.4849853515625,108,30.841729286754852,1.93868994910988,0.03254149014398707,0.18236579412418158,0.9532710280373832
191,train,1668.004150390625,108,11.737543562910023,7.944749460962698,0.025808550344078005,0.1313074644110273,0.9439252336448598
192,train,13.683500289916992,108,13.069467271605843,6.07844216463992,0.016714317457110533,0.13192377989991838,0.9906542056074766
193,val,382.41290283203125,108,14.645533836955936,40.323959610473835,0.032225331919048965,0.1540533512605847,0.9719626168224299
194,test,167.82200622558594,108,21.04225913508774,12.14016551842745,0.03345050168783403,0.183603308577371,0.9439252336448598
195,train,454.96551513671875,108,21.18403704205088,12.891445836837136,0.02519140032596604,0.1317044095684401,0.9532710280373832
196,train,122.28700256347656,108,17.727224661001415,4.828274789295159,0.028866336677555175,0.1450353025266501,0.9719626168224299
197,train,900.0120849609375,108,16.447918605113525,12.952291192235116,0.01991554645428643,0.11639706429429367,0.9532710280373832
198,train,201.256103515625,108,22.05849954426201,9.87399102434365,0.02931329905454621,0.13921216324485008,0.9719626168224299
199,train,1207.305419921875,108,22.925104118793556,14.402380861892413,0.026469059600847087,0.13205668216629518,0.9813084112149533
